epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.177,1.7411,4.10107,1.08727,0,0,0,0,1.43061,4.2414,1.07096,2.5e-05,2.5e-05,2.5e-05
2,9.10205,1.74863,4.10997,1.09753,0,0,0,0,1.48664,4.2324,1.08132,6.22188e-05,6.22188e-05,6.22188e-05
3,13.1685,1.28979,4.01709,0.94873,0.00033,0.00155,0.00017,3e-05,2.0295,4.1123,1.13102,9.91e-05,9.91e-05,9.91e-05
4,17.6058,1.10665,3.87583,0.88075,0.02702,0.15932,0.02056,0.00554,1.85977,3.94537,1.04358,0.000135644,0.000135644,0.000135644
5,21.6974,0.91799,3.6673,0.85124,0.022,0.12033,0.01897,0.0046,1.63125,4.00922,1.02878,0.00017185,0.00017185,0.00017185
6,25.3406,0.94599,3.50015,0.8426,0.02107,0.11124,0.01538,0.00325,1.623,4.03788,1.04592,0.000207719,0.000207719,0.000207719
7,28.9844,0.85692,3.31786,0.83512,0.03864,0.21977,0.05404,0.01306,1.56477,3.973,1.01787,0.00024325,0.00024325,0.00024325
8,32.7371,0.87206,3.09649,0.82743,0.02797,0.15394,0.02666,0.00573,1.53477,3.96879,1.03499,0.000278444,0.000278444,0.000278444
9,36.3062,0.80439,2.75685,0.82518,0.04553,0.33985,0.14602,0.04918,1.45457,3.82915,0.99612,0.0003133,0.0003133,0.0003133
10,39.7876,0.8768,2.56705,0.82159,0.02945,0.24344,0.08645,0.01916,1.63576,3.82437,1.06365,0.000347819,0.000347819,0.000347819
11,43.446,0.93691,2.23791,0.82108,0.03253,0.30624,0.15306,0.03913,1.53432,3.68321,1.01759,0.000382,0.000382,0.000382
12,46.804,0.75709,1.65594,0.82003,0.02688,0.26089,0.10109,0.02376,1.65154,3.69744,1.08457,0.000415844,0.000415844,0.000415844
13,50.1698,0.80408,1.53091,0.81112,0.03052,0.28953,0.11532,0.03343,1.76626,3.68669,1.11462,0.00044935,0.00044935,0.00044935
14,53.7575,0.81817,1.17094,0.81359,0.03557,0.32339,0.16876,0.05296,1.5754,3.61329,1.05469,0.000482519,0.000482519,0.000482519
15,57.2078,0.82892,1.08299,0.81395,0.04659,0.34236,0.26307,0.08886,1.81312,3.50823,1.1084,0.00051535,0.00051535,0.00051535
16,60.8883,0.82758,0.92087,0.83334,0.06039,0.4336,0.34077,0.16885,1.4342,3.37457,0.99605,0.000547844,0.000547844,0.000547844
17,64.3336,1.22223,0.95003,0.86512,0.06325,0.44547,0.32252,0.16083,1.44199,3.35924,0.9917,0.00058,0.00058,0.00058
18,68.0185,0.88347,0.82761,0.83505,0.08207,0.50681,0.37479,0.14172,1.74862,3.34366,1.09545,0.000611819,0.000611819,0.000611819
19,71.6444,0.97769,0.86186,0.84072,0.09567,0.58302,0.42725,0.15823,1.82723,3.30786,1.13299,0.0006433,0.0006433,0.0006433
20,75.1184,0.94988,0.83433,0.83296,0.12473,0.74499,0.60357,0.2476,1.73066,3.17299,1.12561,0.000674444,0.000674444,0.000674444
21,78.6289,0.80298,0.80212,0.82255,0.13532,0.8254,0.6915,0.32075,1.56549,3.0673,1.08034,0.00070525,0.00070525,0.00070525
22,82.2178,0.79164,0.76605,0.82267,0.14094,0.94187,0.83612,0.37333,1.5666,2.87372,1.07121,0.000735719,0.000735719,0.000735719
23,85.9642,0.82083,0.72895,0.8254,0.14011,0.93223,0.85639,0.36905,1.63357,2.77332,1.11063,0.00076585,0.00076585,0.00076585
24,89.4515,0.74638,0.67784,0.81459,0.13764,0.9351,0.89834,0.36405,1.70077,2.50795,1.15973,0.000795644,0.000795644,0.000795644
25,93.098,0.76403,0.69844,0.81966,0.70527,0.92448,0.88816,0.35594,1.72911,2.37708,1.17244,0.0008251,0.0008251,0.0008251
26,97.0876,0.72962,0.6482,0.81638,0.97345,0.53156,0.92427,0.39045,1.65178,2.06043,1.15623,0.000854219,0.000854219,0.000854219
27,100.977,0.69858,0.61592,0.81791,0.93115,0.61633,0.87861,0.35085,1.77125,1.93444,1.21287,0.000883,0.000883,0.000883
28,104.466,0.72786,0.62317,0.81235,0.93803,0.84063,0.91862,0.39058,1.70332,1.64127,1.2016,0.000911444,0.000911444,0.000911444
29,107.966,0.68778,0.60519,0.80788,0.9484,0.90088,0.92724,0.40098,1.67692,1.50159,1.20106,0.00093955,0.00093955,0.00093955
