epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,63.6118,0.60429,0.47997,0.79924,0.9371,0.94526,0.91849,0.40541,1.62153,0.69163,1.2461,0.00101938,0.00101938,0.00101938
43,64.9463,0.57415,0.47955,0.80474,0.92811,0.93643,0.90228,0.40252,1.62063,0.66361,1.2467,0.00101375,0.00101375,0.00101375
44,66.3058,0.63215,0.5048,0.80354,0.94391,0.95159,0.92357,0.41041,1.60083,0.68404,1.24167,0.00100812,0.00100812,0.00100812
45,67.6171,0.56503,0.473,0.79416,0.94276,0.95081,0.92487,0.40947,1.58445,0.67201,1.24684,0.0010025,0.0010025,0.0010025
46,68.9696,0.55923,0.45996,0.79992,0.95396,0.96233,0.94152,0.4462,1.51363,0.63083,1.19684,0.000996875,0.000996875,0.000996875
47,70.413,0.59782,0.48198,0.80299,0.95,0.9583,0.9374,0.42861,1.54705,0.64657,1.21557,0.00099125,0.00099125,0.00099125
48,71.9247,0.63379,0.47946,0.80406,0.90961,0.91614,0.87954,0.361,1.70163,0.68291,1.28371,0.000985625,0.000985625,0.000985625
49,73.3568,0.64763,0.47085,0.80855,0.9463,0.95438,0.93032,0.41655,1.55035,0.63784,1.21087,0.00098,0.00098,0.00098
50,74.8949,0.61038,0.46201,0.80427,0.95559,0.96435,0.947,0.43237,1.53027,0.61454,1.19885,0.000974375,0.000974375,0.000974375
51,76.2816,0.57433,0.46647,0.79997,0.94262,0.95126,0.92462,0.40482,1.58495,0.62746,1.2403,0.00096875,0.00096875,0.00096875
52,77.7046,0.6025,0.45675,0.79721,0.95138,0.96081,0.94161,0.43449,1.52298,0.61582,1.19547,0.000963125,0.000963125,0.000963125
53,79.0936,0.56406,0.44888,0.79961,0.94491,0.95426,0.9329,0.42821,1.52645,0.60301,1.19405,0.0009575,0.0009575,0.0009575
54,80.4112,0.5653,0.43048,0.79843,0.94276,0.95159,0.92639,0.41286,1.57038,0.62393,1.22373,0.000951875,0.000951875,0.000951875
55,81.7411,0.61817,0.46112,0.79848,0.94408,0.95233,0.92644,0.42273,1.55031,0.61438,1.21272,0.00094625,0.00094625,0.00094625
56,83.1673,0.56985,0.44622,0.80868,0.94953,0.95755,0.93474,0.43802,1.5121,0.6029,1.19285,0.000940625,0.000940625,0.000940625
57,84.5319,0.59095,0.44771,0.80062,0.93803,0.94604,0.91835,0.41722,1.56265,0.61099,1.22415,0.000935,0.000935,0.000935
58,85.8957,0.56747,0.4569,0.79983,0.93505,0.94449,0.91572,0.41079,1.56954,0.59676,1.23084,0.000929375,0.000929375,0.000929375
59,87.359,0.60395,0.44586,0.79722,0.94603,0.95812,0.93235,0.42958,1.53005,0.58401,1.20182,0.00092375,0.00092375,0.00092375
60,88.981,0.5722,0.43481,0.79889,0.93126,0.93955,0.90864,0.39174,1.62675,0.6145,1.25936,0.000918125,0.000918125,0.000918125
61,90.2955,0.56332,0.42738,0.79723,0.93767,0.94587,0.91965,0.40245,1.58136,0.61187,1.2386,0.0009125,0.0009125,0.0009125
62,91.6038,0.58292,0.44154,0.79436,0.95955,0.96732,0.94618,0.44728,1.49365,0.58616,1.17841,0.000906875,0.000906875,0.000906875
63,92.9166,0.56521,0.41375,0.79833,0.96232,0.96977,0.94954,0.4509,1.49469,0.58527,1.18034,0.00090125,0.00090125,0.00090125
64,94.2847,0.58578,0.43006,0.79739,0.92282,0.93078,0.89138,0.36936,1.70158,0.64292,1.29376,0.000895625,0.000895625,0.000895625
65,95.5834,0.59608,0.41486,0.80266,0.93367,0.94156,0.90788,0.39085,1.62795,0.63004,1.25923,0.00089,0.00089,0.00089
66,96.9353,0.57838,0.43142,0.79587,0.95832,0.96597,0.94233,0.43904,1.49166,0.58829,1.17814,0.000884375,0.000884375,0.000884375
67,98.2523,0.63845,0.44357,0.80146,0.96388,0.97155,0.9493,0.44759,1.48245,0.58231,1.1659,0.00087875,0.00087875,0.00087875
68,99.5769,0.55545,0.41813,0.79652,0.92392,0.93336,0.89523,0.37464,1.69319,0.62414,1.29626,0.000873125,0.000873125,0.000873125
69,100.901,0.61942,0.4293,0.80001,0.91887,0.92515,0.89078,0.37148,1.71482,0.63972,1.30687,0.0008675,0.0008675,0.0008675
70,102.293,0.63555,0.45187,0.79978,0.94268,0.94931,0.91839,0.41616,1.57927,0.60507,1.2421,0.000861875,0.000861875,0.000861875
71,103.895,0.55991,0.44777,0.79839,0.95531,0.96258,0.94124,0.43965,1.51452,0.57896,1.19914,0.00085625,0.00085625,0.00085625
72,105.316,0.54351,0.41761,0.79251,0.9401,0.94757,0.92042,0.41561,1.56579,0.58708,1.22676,0.000850625,0.000850625,0.000850625
73,106.628,0.56005,0.44062,0.79528,0.9405,0.94748,0.92334,0.40832,1.58051,0.59248,1.24217,0.000845,0.000845,0.000845
74,108.019,0.5552,0.4329,0.79605,0.94201,0.94919,0.92465,0.41209,1.56393,0.58299,1.23856,0.000839375,0.000839375,0.000839375
75,109.396,0.54365,0.41056,0.79538,0.93734,0.94533,0.91869,0.41052,1.56813,0.58761,1.24127,0.00083375,0.00083375,0.00083375
